model_a,model_b,disagreement_rate,agreement_rate,n_samples
seed1_frac0p5,seed1_frac0p75,0.03069552874378992,0.9693044712562101,22544
seed1_frac0p5,seed1_frac1p0,0.03965578424414478,0.9603442157558553,22544
seed1_frac0p5,seed2_frac0p5,0.025328246983676365,0.9746717530163236,22544
seed1_frac0p5,seed2_frac0p75,0.04484563520227111,0.9551543647977289,22544
seed1_frac0p5,seed3_frac0p75,0.05442689850958126,0.9455731014904187,22544
seed1_frac0p5,seed3_frac1p0,0.0362402413058907,0.9637597586941093,22544
seed1_frac0p5,seed4_frac0p75,0.03282469836763662,0.9671753016323634,22544
seed1_frac0p5,seed5_frac0p75,0.03242547906316537,0.9675745209368346,22544
seed1_frac0p5,seed5_frac1p0,0.027723562810503904,0.9722764371894961,22544
seed1_frac0p75,seed1_frac1p0,0.02856635911994322,0.9714336408800568,22544
seed1_frac0p75,seed2_frac0p5,0.03260290986515259,0.9673970901348474,22544
seed1_frac0p75,seed2_frac0p75,0.036062810503903475,0.9639371894960965,22544
seed1_frac0p75,seed3_frac0p75,0.04573278921220724,0.9542672107877928,22544
seed1_frac0p75,seed3_frac1p0,0.026570262597586942,0.973429737402413,22544
seed1_frac0p75,seed4_frac0p75,0.028743789921930447,0.9712562100780695,22544
seed1_frac0p75,seed5_frac0p75,0.02195706174591909,0.978042938254081,22544
seed1_frac0p75,seed5_frac1p0,0.021336053938963803,0.9786639460610362,22544
seed1_frac1p0,seed2_frac0p5,0.040232434350603266,0.9597675656493967,22544
seed1_frac1p0,seed2_frac0p75,0.03428850248403123,0.9657114975159687,22544
seed1_frac1p0,seed3_frac0p75,0.06019339957416608,0.939806600425834,22544
seed1_frac1p0,seed3_frac1p0,0.03686124911284599,0.9631387508871541,22544
seed1_frac1p0,seed4_frac0p75,0.03672817601135557,0.9632718239886444,22544
seed1_frac1p0,seed5_frac0p75,0.032780340667139814,0.9672196593328601,22544
seed1_frac1p0,seed5_frac1p0,0.02869943222143364,0.9713005677785663,22544
seed2_frac0p5,seed2_frac0p75,0.032203690560681335,0.9677963094393187,22544
seed2_frac0p5,seed3_frac0p75,0.04551100070972321,0.9544889992902768,22544
seed2_frac0p5,seed3_frac1p0,0.03309084457061746,0.9669091554293825,22544
seed2_frac0p5,seed4_frac0p75,0.031272178850248404,0.9687278211497516,22544
seed2_frac0p5,seed5_frac0p75,0.024041873669268986,0.975958126330731,22544
seed2_frac0p5,seed5_frac1p0,0.029364797728885735,0.9706352022711142,22544
seed2_frac0p75,seed3_frac0p75,0.05198722498225692,0.9480127750177431,22544
seed2_frac0p75,seed3_frac1p0,0.036994322214336406,0.9630056777856636,22544
seed2_frac0p75,seed4_frac0p75,0.0454666430092264,0.9545333569907736,22544
seed2_frac0p75,seed5_frac0p75,0.026792051100070973,0.973207948899929,22544
seed2_frac0p75,seed5_frac1p0,0.03273598296664301,0.967264017033357,22544
seed3_frac0p75,seed3_frac1p0,0.03211497515968772,0.9678850248403122,22544
seed3_frac0p75,seed4_frac0p75,0.05158800567778566,0.9484119943222143,22544
seed3_frac0p75,seed5_frac0p75,0.04240596167494677,0.9575940383250532,22544
seed3_frac0p75,seed5_frac1p0,0.04817246273953158,0.9518275372604684,22544
seed3_frac1p0,seed4_frac0p75,0.03730482611781405,0.962695173882186,22544
seed3_frac1p0,seed5_frac0p75,0.02670333569907736,0.9732966643009227,22544
seed3_frac1p0,seed5_frac1p0,0.02572746628814762,0.9742725337118524,22544
seed4_frac0p75,seed5_frac0p75,0.02861071682044003,0.97138928317956,22544
seed4_frac0p75,seed5_frac1p0,0.031006032647267565,0.9689939673527325,22544
seed5_frac0p75,seed5_frac1p0,0.023953158268275373,0.9760468417317246,22544
