sample_id,y_true,majority_pred,vote_entropy,unique_predictions,majority_fraction,conflict_ratio,is_conflict
0,1,1,-0.0,1,1.0,0.0,False
1,1,1,-0.0,1,1.0,0.0,False
2,0,0,-0.0,1,1.0,0.0,False
3,1,1,-0.0,1,1.0,0.0,False
4,1,0,-0.0,1,1.0,0.0,False
5,0,0,-0.0,1,1.0,0.0,False
6,0,0,0.4689955935892812,2,0.9,0.09999999999999998,True
7,1,0,-0.0,1,1.0,0.0,False
8,0,0,-0.0,1,1.0,0.0,False
9,1,0,-0.0,1,1.0,0.0,False
10,1,0,-0.0,1,1.0,0.0,False
11,0,0,-0.0,1,1.0,0.0,False
12,1,1,-0.0,1,1.0,0.0,False
13,1,1,-0.0,1,1.0,0.0,False
14,0,0,-0.0,1,1.0,0.0,False
15,0,0,-0.0,1,1.0,0.0,False
16,0,0,-0.0,1,1.0,0.0,False
17,0,0,-0.0,1,1.0,0.0,False
18,0,0,0.7219280948873623,2,0.8,0.19999999999999996,True
19,1,1,-0.0,1,1.0,0.0,False
20,1,1,-0.0,1,1.0,0.0,False
21,1,1,-0.0,1,1.0,0.0,False
22,0,0,-0.0,1,1.0,0.0,False
23,0,0,-0.0,1,1.0,0.0,False
24,1,1,-0.0,1,1.0,0.0,False
25,1,1,-0.0,1,1.0,0.0,False
26,0,0,-0.0,1,1.0,0.0,False
27,0,0,-0.0,1,1.0,0.0,False
28,1,1,-0.0,1,1.0,0.0,False
29,0,0,0.4689955935892812,2,0.9,0.09999999999999998,True
30,1,1,-0.0,1,1.0,0.0,False
31,0,0,-0.0,1,1.0,0.0,False
32,0,0,-0.0,1,1.0,0.0,False
33,0,1,-0.0,1,1.0,0.0,False
34,1,1,-0.0,1,1.0,0.0,False
35,1,1,0.9709505944546686,2,0.6,0.4,True
36,0,0,-0.0,1,1.0,0.0,False
37,1,0,0.8812908992306927,2,0.7,0.30000000000000004,True
38,0,0,-0.0,1,1.0,0.0,False
39,0,0,-0.0,1,1.0,0.0,False
40,1,1,-0.0,1,1.0,0.0,False
41,0,0,-0.0,1,1.0,0.0,False
42,0,0,-0.0,1,1.0,0.0,False
43,0,0,-0.0,1,1.0,0.0,False
44,1,1,-0.0,1,1.0,0.0,False
45,0,0,-0.0,1,1.0,0.0,False
46,1,1,-0.0,1,1.0,0.0,False
47,1,1,-0.0,1,1.0,0.0,False
48,1,1,-0.0,1,1.0,0.0,False
49,0,0,-0.0,1,1.0,0.0,False
50,0,0,-0.0,1,1.0,0.0,False
51,0,0,-0.0,1,1.0,0.0,False
52,1,1,-0.0,1,1.0,0.0,False
53,1,1,-0.0,1,1.0,0.0,False
54,1,0,-0.0,1,1.0,0.0,False
55,0,0,-0.0,1,1.0,0.0,False
56,1,1,-0.0,1,1.0,0.0,False
57,1,0,-0.0,1,1.0,0.0,False
58,1,0,-0.0,1,1.0,0.0,False
59,0,0,-0.0,1,1.0,0.0,False
60,1,0,-0.0,1,1.0,0.0,False
61,1,0,0.4689955935892812,2,0.9,0.09999999999999998,True
62,0,0,-0.0,1,1.0,0.0,False
63,0,0,-0.0,1,1.0,0.0,False
64,1,1,-0.0,1,1.0,0.0,False
65,0,0,-0.0,1,1.0,0.0,False
66,1,1,0.4689955935892812,2,0.9,0.09999999999999998,True
67,1,1,-0.0,1,1.0,0.0,False
68,1,1,-0.0,1,1.0,0.0,False
69,0,0,-0.0,1,1.0,0.0,False
70,1,1,-0.0,1,1.0,0.0,False
71,0,0,-0.0,1,1.0,0.0,False
72,0,0,-0.0,1,1.0,0.0,False
73,0,0,-0.0,1,1.0,0.0,False
74,1,1,-0.0,1,1.0,0.0,False
75,0,0,-0.0,1,1.0,0.0,False
76,0,0,-0.0,1,1.0,0.0,False
77,1,0,-0.0,1,1.0,0.0,False
78,0,0,-0.0,1,1.0,0.0,False
79,0,0,-0.0,1,1.0,0.0,False
80,1,1,-0.0,1,1.0,0.0,False
81,1,1,-0.0,1,1.0,0.0,False
82,1,1,-0.0,1,1.0,0.0,False
83,0,0,-0.0,1,1.0,0.0,False
84,0,0,-0.0,1,1.0,0.0,False
85,0,0,-0.0,1,1.0,0.0,False
86,1,1,-0.0,1,1.0,0.0,False
87,1,0,0.4689955935892812,2,0.9,0.09999999999999998,True
88,0,0,-0.0,1,1.0,0.0,False
89,0,0,-0.0,1,1.0,0.0,False
90,0,0,-0.0,1,1.0,0.0,False
91,0,0,-0.0,1,1.0,0.0,False
92,1,1,-0.0,1,1.0,0.0,False
93,1,0,-0.0,1,1.0,0.0,False
94,1,0,-0.0,1,1.0,0.0,False
95,0,0,-0.0,1,1.0,0.0,False
96,0,0,-0.0,1,1.0,0.0,False
97,0,0,-0.0,1,1.0,0.0,False
98,1,1,-0.0,1,1.0,0.0,False
99,1,1,-0.0,1,1.0,0.0,False
100,1,1,-0.0,1,1.0,0.0,False
101,1,0,0.4689955935892812,2,0.9,0.09999999999999998,True
102,1,1,-0.0,1,1.0,0.0,False
103,1,1,-0.0,1,1.0,0.0,False
104,0,0,-0.0,1,1.0,0.0,False
105,1,1,-0.0,1,1.0,0.0,False
106,1,0,0.4689955935892812,2,0.9,0.09999999999999998,True
107,0,0,-0.0,1,1.0,0.0,False
108,1,1,-0.0,1,1.0,0.0,False
109,0,0,-0.0,1,1.0,0.0,False
110,0,0,-0.0,1,1.0,0.0,False
111,1,1,-0.0,1,1.0,0.0,False
112,1,0,-0.0,1,1.0,0.0,False
113,1,0,-0.0,1,1.0,0.0,False
114,0,0,-0.0,1,1.0,0.0,False
115,1,1,-0.0,1,1.0,0.0,False
116,0,0,-0.0,1,1.0,0.0,False
117,1,1,-0.0,1,1.0,0.0,False
118,1,1,-0.0,1,1.0,0.0,False
119,1,0,-0.0,1,1.0,0.0,False
120,0,0,-0.0,1,1.0,0.0,False
121,1,1,-0.0,1,1.0,0.0,False
122,1,1,-0.0,1,1.0,0.0,False
123,1,1,-0.0,1,1.0,0.0,False
124,0,0,-0.0,1,1.0,0.0,False
125,0,0,-0.0,1,1.0,0.0,False
126,1,0,-0.0,1,1.0,0.0,False
127,1,1,-0.0,1,1.0,0.0,False
128,0,0,-0.0,1,1.0,0.0,False
129,0,0,-0.0,1,1.0,0.0,False
130,0,0,-0.0,1,1.0,0.0,False
131,0,0,-0.0,1,1.0,0.0,False
132,1,0,-0.0,1,1.0,0.0,False
133,0,0,-0.0,1,1.0,0.0,False
134,1,0,-0.0,1,1.0,0.0,False
135,0,0,-0.0,1,1.0,0.0,False
136,1,1,-0.0,1,1.0,0.0,False
137,1,0,-0.0,1,1.0,0.0,False
138,1,1,0.7219280948873623,2,0.8,0.19999999999999996,True
139,0,0,-0.0,1,1.0,0.0,False
140,0,0,-0.0,1,1.0,0.0,False
141,0,0,-0.0,1,1.0,0.0,False
142,1,1,-0.0,1,1.0,0.0,False
143,1,1,-0.0,1,1.0,0.0,False
144,1,1,-0.0,1,1.0,0.0,False
145,1,1,-0.0,1,1.0,0.0,False
146,1,1,-0.0,1,1.0,0.0,False
147,1,1,-0.0,1,1.0,0.0,False
148,0,0,-0.0,1,1.0,0.0,False
149,1,0,-0.0,1,1.0,0.0,False
