model_id,class_name,rank,feature,mean_abs_shap
seed1_frac0p5,normal,1,num__dst_host_same_srv_rate,0.691721141916787
seed1_frac0p5,normal,2,num__dst_host_same_src_port_rate,0.4900934859301742
seed1_frac0p5,normal,3,num__rerror_rate,0.4853316741355229
seed1_frac0p5,normal,4,num__dst_host_rerror_rate,0.47241438243872835
seed1_frac0p5,normal,5,num__dst_host_diff_srv_rate,0.3644311610804607
seed1_frac0p5,normal,6,cat__service_private,0.34639920849440387
seed1_frac0p5,normal,7,num__dst_host_count,0.32707984978333116
seed1_frac0p5,normal,8,cat__flag_S0,0.32130843305640155
seed1_frac0p5,normal,9,num__same_srv_rate,0.31318948894477217
seed1_frac0p5,normal,10,num__dst_host_srv_count,0.3110420515952228
seed1_frac0p5,normal,11,num__logged_in,0.3081434740579425
seed1_frac0p5,normal,12,cat__service_http,0.25882353270208114
seed1_frac0p5,normal,13,num__dst_host_srv_serror_rate,0.25279927273123803
seed1_frac0p5,normal,14,num__dst_host_serror_rate,0.2500707526014594
seed1_frac0p5,normal,15,num__srv_count,0.23860141058742101
seed1_frac0p5,normal,16,num__count,0.22713729695306029
seed1_frac0p5,normal,17,num__diff_srv_rate,0.20295601817770148
seed1_frac0p5,normal,18,num__srv_serror_rate,0.19447802573267836
seed1_frac0p5,normal,19,cat__protocol_type_udp,0.19193365510318472
seed1_frac0p5,normal,20,num__srv_diff_host_rate,0.1677995267245933
seed1_frac0p5,normal,21,cat__flag_RSTO,0.14345286064781249
seed1_frac0p5,normal,22,cat__flag_REJ,0.13266311090410454
seed1_frac0p5,normal,23,num__serror_rate,0.1316265235436731
seed1_frac0p5,normal,24,num__dst_host_srv_rerror_rate,0.12702545876800286
seed1_frac0p5,normal,25,num__dst_host_srv_diff_host_rate,0.12028365690457576
seed1_frac0p5,normal,26,num__hot,0.11986263066955871
seed1_frac0p5,normal,27,cat__service_pop_3,0.11742062564007938
seed1_frac0p5,normal,28,num__srv_rerror_rate,0.11488870287257669
seed1_frac0p5,normal,29,cat__flag_SF,0.10733014141055719
seed1_frac0p5,normal,30,cat__protocol_type_icmp,0.10370366116330842
seed1_frac0p5,normal,31,cat__protocol_type_tcp,0.09706016951213314
seed1_frac0p5,normal,32,num__wrong_fragment,0.08827846445092291
seed1_frac0p5,normal,33,num__num_failed_logins,0.08057441096752882
seed1_frac0p5,normal,34,num__is_guest_login,0.07232589373177234
seed1_frac0p5,normal,35,cat__service_ecr_i,0.07161422044737265
seed1_frac0p5,normal,36,cat__service_other,0.0617434141281592
seed1_frac0p5,normal,37,cat__service_domain_u,0.06074554748101946
seed1_frac0p5,normal,38,cat__service_ftp_data,0.06040062524812129
seed1_frac0p5,normal,39,num__land,0.058417555570486
seed1_frac0p5,normal,40,cat__flag_RSTR,0.05165251458311104
seed1_frac0p5,normal,41,cat__service_telnet,0.047116297762840986
seed1_frac0p5,normal,42,num__root_shell,0.045953083550557494
